index	#1 Label	#2 Count	#3 String
23	1,3	2	The taped conversation took place two months before the election, a month after woman claiming affair w Trump was paid by AMI [URL] ||||| No one records just one random conversation. If Cohen recorded this one, there are no doubt many, many others. [URL]
24	1,1	2	Dates are required period, I’m not chilling with a guy I just met! You won’t be in my house and I’m not coming to yours period [URL] ||||| When I say this has saved me from dealing w/so many bullshit as niggas!!!! Ain't no pulling up on me PERIOD , if yen doing dates then you'll gone on bout yo business! Put more standards on yourself [URL]
25	1,0	2	Never bullshit a bullshitter ||||| Always bullshit a bullshitter [URL]
26	1,1	2	⚡️Look at the crowd size for #MarchForOurLives •I'd say at least 5X more than at Trump 2017 inauguration! 👀 [URL] ||||| @POTUS @PressSec @librarycongress I wonder what stupid LIES Sarah Sanders will hurl to start this week off ?? ALIENS invaded D.C., perhaps? [URL]
27	1,1	2	Emma Gonzalez goes viral on the far right ... but the photo is fake [URL] ||||| @NRA supporters are creating #FakeNews all to attack #GunViolence survivors! #ShameOnYou 🤬🤯 #EnoughIsEnough #BlueWaveComing2018 🌊🌊 [URL]
28	1,0	2	You know what benefits from school shootings?  The home school movement.   You know what benefits from the home school movement?  Ignorance.  You know what benefits from ignorance?  #Republicanism.  You know what benefits from Republicanism?  The #NRA.   See it now? ||||| Wrong assumptions lead to erroneous conclusions. [URL]
31	1,0	2	So far in 2018, a member of the military has been about 40 times as likely to be killed as someone is to die in a school shooting. ||||| 97% of all statistics are made up on the spot...😒 [URL]
32	1,1	2	How ironic these school shooting take place right when DOJ/FBI are under fire to divert the media attention to take away the 2A. Now it’s a shot gun and pistol. The kid was bullied on social media. Maybe it’s social media’s fault.  Who really behind it? [URL] ||||| FALSE FLAGS! 🙏💗🇺🇸 [URL]
33	1,0	2	Why My Health Record can't have 'military-grade' security [URL] ||||| A minister defending their project by saying it has "military-grade security" should just get in the bin. Is there a better indicator that our current representatives are the wrong people for the job and should not have our data. [URL]
35	1,0	2	So now we see that Jeremy’s reforendum position has been halfhearted because it was just a trick to win more votes from the Brexiteers without scaring the Remainers. Mark my words he’ll soo line up with Trump and Mogg if thats where the votes lie on the final vote . #JdoesaLexit ||||| I dont think so Tony. He has never been after votes. Simply a better society for all. I think you are gravely mistaken in your personal opinion of him [URL]
36	1,1	2	#RaceBaiter   👸🏾 The Queen Of Race Baiting, April Ryan, says reporter told her, 'The only reason you get called on is because you're black' [URL]  .......and if she didn’t get called on, the excuse would be ‘because you are black’ 🙄 ||||| Ok, April Lyin' Ryan, I'm calling your lying, rascist, fat ass out!  WHAT REPORTER TOLD YOU THIS?  You can't and won't answer because it is a big fat lie, just like you.  Reporters are supposed to REPORT the news, not BE the news so sit down, STFU, and DO YOUR JOB!  #FakeNewsCNN [URL]
38	1,3	2	The Santa Fe school shooting is 2nd this week, 3rd this month and 16th this year [URL] ||||| trumpovitch has spent more effort this year lying about Stormy Daniels than trying to protect children. [URL]
39	1,3	2	“Prepare to watch the NRA boast about getting higher donations. Prepare to see students rise up and be called ‘civil terrorists’ and ‘crisis actors.’ Prepare for the right-wing media to attack the survivors.” [URL] ||||| Prepare to watch the Left propagate complete BS about guns and gun violence, then shriek “you have blood on your hands” at anyone who dares point out their fallacies. [URL]
41	1,3	2	Iran's president says it will negotiate staying in nuclear deal with European countries, Russia and China despite U.S. withdrawal [URL] ||||| BBC is meanwhile reporting fake news   #IranNuclearDeal #Trump [URL]
44	1,3	2	GRAB THE POPCORN: Iran Threatened to Name Politicians Who Took BRIBES to Pass Nuclear Deal [URL] ||||| Waiting.... #QAnon #FakeNews @POTUS [URL]
46	1,0	2	When you're paid for years to launch disingenuous attacks at the Iran Deal, at least own the consequences of blowing it up.. [URL] ||||| You confessed to Obama and admin lying about it to the American people in order to get it done. Sit this one out Ben. The future is not going to work out in your political favor @brhodes. [URL]
47	1,3	2	#BreakingNews: #Israeli occupation force arrests a #Palestinian youth in #Jerusalem on the pretext of possession of a sharp tool. [URL] ||||| It isn't Zionism is a crime, ZIONISM IS CRIME, one and the same, deceit, lies, dishonesty, evil,  M.Oren TL-filled with LIES Palestinians lack exactly what defines Zionism, Drumpf kills Iran deal Israel attacks soon thereafter, Pretext&amp;human shields,both unneeded for their crimes [URL]
48	1,0	2	Meanwhile, 7 shot so far this Memorial Day weekend in Chicago where they have total gun control... just another day in the hood! ||||| There is no “total gun control” in Chicago.  And what kind of person makes light of the epidemic of gun violence in America?  #subtext [URL]
49	1,0	2	David Hogg and the mainstream media don't want you to know this, but 8 people were killed and 30 we're injured in shootings this weekend in Chicago. Funny how they claim to care about shootings but not the ones in cities with lots of gun control. ||||| This tweet is extremely misleading and the situation is much more nuanced than she wants you to believe. [URL]
51	1,0	2	Parent’s curfew with each child:  1st child: “be home by 10!” 2nd child: “alright you can stay out until midnight” 3rd child: “as long as I see you within 3-5 business days I honestly don’t care what time you’re home”  I’m not mad ur mad ||||| Well that’s a lie 😅😅 im the 3rd and I’m 18 and it’s like “be home by 11:30pm or imma beat your ass.” [URL]
52	1,1	2	Our intelligence communities say Russia is actively trying 2interfere in our election. So Mr President, “do U believe that Russia is trying 2interfere in our election?”  Wednesday Trump: “NO”  SO ARE WE ALL FUCKING DONE NOW DEBATING ON WHETHER OR NOT HE MEANT WHAT HE SAID ON MON? ||||| The president is a liar! #TreasonSummit  #OccupyLafayettePark #TreasonSummit #ImpeachTrump [URL]
53	1,0	2	My piece: Rahul Gandhi Should Not Fall Into the BJP Trap [URL] ||||| Why @waglenikhil was not included in #CWC ?   When Fake editor licks  boots of an illeterate beyond thinking!🤣🤣🤣 [URL]
54	1,0	2	Ellison: National Borders Create ‘An Injustice’ for ‘Regular People’ Seeking Higher Wages. Wtf? [URL] ||||| OH HELL NO...this muslime brotherhood RAT has to go! GET HIM OUT of our government! #WalkAway from DEMONrat party of oppression, socialism, marxism, hate, violence, injustices, lies, corruption!! [URL]
55	1,1	2	Sarah Sanders says President Trump was saying "no" to the cook in the back of the room as in no fries with lunch... Not "no" that Russia isn't targeting the United States. "He does believe they would target U.S. elections." [URL] ||||| For them to lie as much as they do, you’d think they would be better at it by now [URL]
56	1,0	2	Honeys, Just had to haul the slut out again. Still amazes me. Hussy. [URL] ||||| Dare to be willfully stupid... just substitute analytical thought with fake narrative. [URL]
57	1,0	2	Every girl that got her body done has these slippers. [URL] ||||| Not true. I have these but I don’t have a flat butt. [URL]
60	1,0	2	Calling for impeachment is about protecting our Constitution, our country, and our people. There’s no sense in dismissing the resistance to Trump at this crucial juncture in American politics. We are watching history unfold before our eyes, which side do we want to be on? [URL] ||||| What a fuccing traitor @TomSteyer is. He lies about  President Trump as he is doing everything he can to remove nuks. Brokered peace in Korea and is stopping Iran from getting the bomb  WTF has loser Steyer done for this country except create deception  Stop him don't support [URL]
62	1,1	2	Caroline Glick: The Ayatollah's Archive Violates the Iran Deal | Breitbart [URL] via @BreitbartNews ||||| .@SenBennetCO #IranDeal Update "Despite misleading claims by former Obama administration officials and their supporters in the liberal media that the material provided “nothing new,” the existence of the archive itself is a bombshell."-@CarolineGlick [URL]
64	1,0	2	*sigh* I just found out there was another school shooting today, now here in Texas.  At this point, fuck “gun control” reform...  Just repeal the entire fucking 2nd. I’m done with this shit.  And fuck your white, unstable, gun-toting, fragile-ass feelings, too. ||||| wrong [URL]
65	1,0	2	Briefed by law enforcement in Santa Fe this afternoon on the ongoing investigation of today’s tragic shooting. Grateful to local, state, and federal officials for their work. Ready to assist in any way we can [URL] ||||| You receive money from the NRA and have a pro-gun voting record, you can keep your fake ass help [URL]
66	1,3	2	What we know about the Texas school shooting:  - At least 8 dead, mostly students  - At least 12 people hospitalized  - Suspected shooter is in custody and believed to be a student at the school, sheriff says  - This is the 22nd school shooting in 2018  [URL] ||||| Just another school shooting in America. At least 8 dead. The Fake President will have less to say about it than he did about a single death in a knife attack in France. 🤔  #uspoli #USPolitics #SantaFe [URL]
67	1,1	2	‘LIE!’ Jimmy Kimmel Pushes Bogus School Shooting Stats That Have Been Disproven [URL] [URL] ||||| Why you gotta lie, Jimmy? [URL]
68	1,0	2	VERIFY: Was Santa Fe shooting suspect bullied? [URL] [URL] ||||| You know I’m tired of this bs the kid shot up a school killed kids bullying or not he still did it [URL]
69	1,0	2	Bruising from a bb gun, accidental shootings, and incidents that don't involve students or staff make up almost half of CNN’s school shooting count. [URL] ||||| 1 shooting is too many. Who cares about the inflated numbers all media lies no matter what side you support. [URL]
70	1,0	2	.@Publix is a #NRASellOut  In Parkland we will  have a die in the Friday (the 25th)  before memorial day weekend. Starting at 4pm for 12 min inside our 2 Publix stores. Just go an lie down starting at 4. Feel free to die in with us at as many other @Publix as possible. ||||| Anti-labor David Hogg boycotting employee-owned @publix is just wrong. I support small business, and the hard working owner operators. Show your support for labor, and go shop there. [URL]
73	1,0	2	We’re not attacking the Second Amendment. We’re putting the safety of our children FIRST. ||||| Liar.  You promote killing them in the womb. [URL]
75	1,1	2	NRA spokesperson Dana Loesch thinks kids should pay for their own security at school [URL] ||||| What is wrong with this woman? She is an idiot! [URL]
76	1,0	2	Who would win in a dance battle?  RT for Ciara Like for Beyoncé [URL] ||||| You guys need to stop lying. Ciara would body Bey in her sleep [URL]
77	1,0	2	Got top 8 winners with Superman and Fate. The carried by Starfire lyfe. ||||| Why lie? You literally used Starfire against me omg [URL]
78	1,3	2	Under standard self-defense laws, someone who’s facing a dangerous threat must retreat if it’s safe to do so, with use of force only legally available as a last resort.  This changes dramatically in states with "stand your ground" laws. [URL] ||||| I don’t care what the law says, shooting someone over a parking spot is wrong. [URL]
79	1,0	2	Stick with the girl who has been down for u since day one. The one who understands your past and your present. The girl who cried herself to sleep whenever u did her wrong,and still forgive u. The girl who has other guys attention, but only wants your love and affection. A.K.A me ||||| are you done being a pick me girl? pls don’t romanticise guys doing girls wrong and them forgiving their mistakes lmao, this shit is toxic and will break you [URL]
80	1,0	2	Ain’t yelling cut when it’s shooting time  Signed up it’s recruiting time  Big wigs with a suit and tie and them big things got two inside ! ||||| FUCK WRONG WITH THESE HOW NIGGAS ION DO COKE ION BLOW NIGGAS ION TELL NIGGAS I SHOW NIGGAS AND IT'S NEVER LESS THSN LIKE FOUR NIGGAS [URL]
82	1,0	2	"We need to do more than just pray for the victims and their families."  In wake of Texas high school shooting, Gov. Abbott pledges action to ensure the tragedy is not repeated. [URL] [URL] ||||| I call bullshit @GregAbbott_TX you have an A+ rating from the NRA. This is the new "thoughts and prayers" statement from complicit members of the GOP #ENOUGH #NeverForget @FuckThe_NRA [URL]
84	1,3	2	When you discover PowerPoint, size 500 font, and Iran’s secret nuclear files all at the same time. [URL] ||||| Everybody knows governments don’t lie duh 🙄 Take Israel for example... Israel never lies [URL]
85	1,0	2	ISRAEL'S NETANYAHU SAYS ISRAEL CAN REVEAL "NEW AND CONCLUSIVE PROOF" THAT IRAN HAS BEEN HIDING NUCLEAR WEAPONS ACTIVITY ||||| Why does anyone believe this shit anymore? They are lying to get the unfortunate military members into another war and to continue to keep us all in fear and paying for their evil. [URL]
86	1,0	2	Trump: Pulling out of Iran deal sends North Korea the "right message" [URL] ||||| How long is the free press going to let Trump speak in false inversions like this. [URL]
87	1,1	2	#Netanyahu's power point demo on the evils of Iran looks like a pyramid scheme presentation done in the ballroom at the local Sheraton where people pay 100 quid to learn the secrets of a real estate "guru." ||||| #Netanyahu  liar liar yarmecule on fire!! [URL]
90	1,0	2	Stop worrying about no-deal Brexit. You'll be fine*.  *excludes people who need food, medicine, cancer treatment, want to fly anywhere, work in manufacturing/farming, have a job with a company that exports or imports, aren’t rich, or don’t run a hedge fund hoping for Brexit chaos ||||| “Project Pathetic” This sums up remoaner’s they will buy into any fairy tail to justify the fact they voted remain. Correct me if I’m wrong but I don’t think we buy bananas or Norwegian salmon from the EU. Somehow they are fresh though!! [URL]
91	1,1	2	Nixon attacked the independent counsel, labeled the investigation a “witch hunt”, and proclaimed his innocence for 26 months, till one day he wasn’t “innocent” any more.  History is repeatin’ itself. ||||| #maga #maga2018 #maga2020 If the maga clowns had any knowledge of history besides what they ordered for dinner yesterday, they would be screaming for the traitors head. Instead they continue to think that the lying traitor is somehow being 'put upon' by the 'hateful left'. 1/2 [URL]
92	1,0	2	Some time ago, Republicans on our committee released a declassified memo that omitted and distorted key facts in order to mislead the public and impugn the integrity of the FBI.   We can now tell you what they left out: [URL] ||||| You dont have to tell us anything. The Fisa warrant on Carter Pge was based on a phony fake unverified dossier paid for by Hillary Clinton. You know that. People can read the Fisa app for themselves, BTW. Not interested in your spin on it. [URL]
93	1,3	2	A federal judge in New York orders Iran to pay billions to relatives of 9/11 victims -- even though the 9/11 Commission found no direct evidence of Iranian support. [URL] via @ABC ||||| “Everything is about power” Underwood was wrong, sex is only supporting [URL]
94	1,1	2	Trump says Iran has a nuclear weapons program. He's lying. [URL] via @MotherJones [URL] ||||| Well he got that from Israel's lying leader (misreading this time maybe but who knows for sure?).  Maybe Bibi doesn't lie as much as tRump but he is acquainted with lying and he's a pot stirrer. [URL]
95	1,0	2	Iran Gains, Then Loses, Nuclear Weapons Program Thanks to White House ‘Clerical Error’ [URL] ||||| This is how Trump and his incompetent idiots will start a war. Totally unacceptable. Clerical error.What BS [URL]
96	1,3	2	UN nuclear agency responds to Netanyahu: "No credible indications" of nuclear activity in Iran after 2009 [URL] [URL] ||||| Watch trump will lie about this. [URL]
97	1,0	2	Honored to meet with the Israeli Ambassador today. Need to hold Iran accountable for the deaths of US Military personnel and spreading terrorism around the globe... [URL] ||||| BullShit @DevinNunes concentrate on that shit Mueller &amp; RodRosenstein Pulling disgracing American Congress&amp;Senate @GOP @realDonaldTrump "Don't pull that shit that Iran Spreading Terrorism when General Dempsey said @KingSalman &amp; @netanyahu Arms&amp;Funds ISIS-AlQaeda" Shame On YOU. [URL]
98	1,0	2	Susan Rice slams "wrecking ball" Trump for leaving Iran deal [URL] [URL] ||||| Anyone care what this confirmed liar thinks? Anyone? [URL]
99	1,3	2	This hasn’t gotten enough attention. The chief of staff of the Israeli Defense Forces says the Iran deal was working.  [URL] ||||| @realDonaldTrump the fake illegitimate @POTUS #WorstPresidentEver [URL]
100	1,0	2	Iranian Quds force fired 20 rockets towards forward IDF positions on Golan Heights. Several rockets intercepted. No Israeli casualties. The IDF views this Iranian attack with severity. More to follow ||||| Such good fabricators!  Lie about Iran nuke program. Get Trump to violate the agreement. Blame an attack on Iranian forces. [URL]
102	1,0	2	Iranian backed media claiming Syrian Christians are opposed 2 striking Assad 4 use of Chemical "because he protects them." Assad regime killed 130,000 Christians in Lebanon, assassinated their leaders &amp; occupied their country. Many still in his jails. Iran axis is also "Jihadist" ||||| You damn liar, bless Assad and Iran 🌸🌸 [URL]
103	1,0	2	The U.S. Justice Department has joined 2 other agencies probing Huawei for possible violations of sanctions banning sales to Iran, sources say [URL] #tictocnews [URL] ||||| Bullshit!!!! [URL]
106	1,0	2	Tomi lahren gets a drink thrown on her and the right throws a fit.  Maybe if you didn't call school shooting survivers crisis actors, make racists remarks, and weren't a vile person, people would respect you.  Be thankful it was just a drink.  #TomiLahren #WednesdayWisdom ||||| And this is exactly the kind of trash coming from the left. Calling for violence over made up shit they got from Fake News or reading their lib friends fake Facebook/Twitter stories... Justifying their sick violence any way they can. #LiberalismIsAMentalDisorder [URL]
109	1,3	2	Girls who are genuinely kind and dont try to compete with every girl they come in contact with because they’re not intimidated or insecure are my kinda girls, wya??? Let’s be friends??? ||||| New Laura take note hun after them lie detector questions #LoveIsand [URL]
110	1,0	2	Jack and Laura already knew eachother looool #loveisland [URL] ||||| Loooool everything about it is so fake this year [URL]
111	1,3	2	The Ball Bros scored 101 of the team's 130 points in their latest JBA game! Video proof: [URL] [URL] ||||| I'm a fan of the Ball family but I can't support what Melo and Gelo are doing for their team, if there even is one. All the league is trying to do is showcase both of them but stats won't lie, they're playing horrible. [URL]
112	1,0	2	President Rouhani had earlier threatened ‘America must understand well that ... war with Iran is the mother of all wars’ [URL] [URL] ||||| The ellipsis in your headline includes the section that refers to "the mother of all peace"; please don't try to justify/amplify that unhinged "potus" rant and mislead your readership for clicks. [URL]
113	1,0	2	Fact: @Kirbopher has traveled back in time before. He just make sure everyone forgets about it. ||||| FALSE. If I could do this I would've gone back to erase brawl taunts. :P [URL]
114	1,0	2	I'm sick of Trump repeating the "13 Angry Democrats are after me" lie.  Mueller is a Republican. Rosenstein is a Republican. Comey was a Republican.  There's no "liberal conspiracy" going on. Trump is just a criminal. ||||| 13 angry democracy are the lawyers that work for Mueller witch is a fact not a lie but i understand spreading #FakeNews is part a liberal agenda but I had no idea  #TrumpDerangementSyndrome would spread so fast lol #witchhunt [URL]
115	1,0	2	How amazing it is to find someone who wants to hear about all the things that go on in your head ||||| How amazing when you find out it was all a lie 🙂 [URL]
120	1,0	2	Oh man.  CNN now reporting that he administration is saying Iran is on the cusp of invading Israel. ||||| Lying propaganda. [URL]
121	1,2	2	BREAKING: @SpeakerRyan is about to have high schoolers arrested protesting outside of his office for gun reform now, maybe he should just meet with them? What’s he so afraid of? Oh, the NRA. ||||| Please say this isn't true... [URL]
123	1,1	2	RT #GunControl There's been school shooting EVERY WEEK in 2018  Santa Fe Palmdale Ocala Raytown Gloversville Lexington Park Seaside Mobile Birmingham Jackson Mount Pleasant Norfolk Itta Bena Savannah Parkland Nashville Oxon Hill Los Angeles Philadelphia Benton Italy Winston Salem ||||| It's just like the crash after @GOP snorted up survival benefits. Suicide rates probably coincide. 1974 bullshit to 1984 blow-back [URL]
125	1,0	2	The Revolutionary Guard's Quds Force is charged with arming proxies across the Middle East and even the world – and is behind a number of past attempts to hit Israel [URL] ||||| This is #FakeNews. The Syrians just "retaliated" for continued #Israeli aggression, bombings in Syria.... and they hit Israeli targets in the OCCUPIED #Golan Heights [URL]
126	1,1	2	Europe Claims It Will Salvage the Iran Deal But It Can't [URL] ||||| There is no deal [URL]
127	1,0	2	NRA acknowledges it received foreign donations, but denies any is used in coordination with elections [URL] [URL] ||||| Yeah... I'm going to go ahead and call bullshit on this one [URL]
128	1,0	2	The NRA is losing and they know it. [URL] ||||| Public service announcement.  Pervert George Takei is also Lying George Takei. [URL]
129	1,0	2	San Antonio Spurs head coach Gregg Popovich sounds off on Second Amendment after loss [URL] [URL] ||||| Popovich is in the wrong state for popping off with comments like this. Lets blast the San Antonio Spurs twitter @spurs with our thoughts. He needs to stick to coaching and stay the hell out of politics!! [URL]
130	1,0	2	I'm so sorry to the people I offended, that was NEVER my intention! my intention was to inform on what the actual history is. i!I'm sorry I wasted your time &amp; I am truly sorry for hurting ppl who don't deserve it. please unfollow me and tell everyone what I said. spread awareness ||||| “actual history” are you getting your knowledge from trumps asshole or??? change your @, icon, and unstan chris because he would never stand for the bullshit you’re spreading. chris would be ashamed to have you as a “fan” lmao [URL]
131	1,0	2	JUST IN: Miami Dolphins may suspend players who protest during anthem: report [URL] [URL] ||||| That is such bullshit.  Ever hear of freedom of expression?? [URL]
132	1,0	2	The lamest generation: I can’t teach millennials – they refuse to take any responsibility for their learning, says an assistant professor  [URL] ||||| This is patently false. I am a millennial who has taught millennials. Many of the students of this generation are extremely high achieving—many of them double majors, taking graduate-level courses, seeking out research opportunities, etc.—and they only get more ambitious. [URL]
134	1,3	2	Heartbreaking moment as Santa Fe High School student is asked if she thought a shooting 'would not happen' at her school:   "It's been happening everywhere. I've always kind of felt like eventually it was going to happen here too." [URL] [URL] ||||| I wonder what @seanhannity @infowars @GOP @NRA going to call her.  They will probably call her a liar or an actor or go balls out and say the shooting was a propaganda [URL]
140	1,0	2	Poll Shows Parkland Gun Control Push Had 'Little Lasting Impact' On Public Opinion [URL] ||||| they are wrong ! a lot of us will not vote for anyone that takes money from NRA. Wait till NOV [URL]
141	1,0	2	Tomi Lahren gets water thrown at her and the president sends out a tweet of sympathy and support...  But didn't tweet out a sympathy for the 10 dead children or their families in SantaFe school shooting. ||||| You just explained what is wrong with our society,when it's acceptable to show no respect for others and you excuse the behavior by attacking those that don't agree with you! You and your bent liberal view has turned our young boys,men,male into confused,angry killing machines [URL]
143	1,1	2	A good politician can't sleep because of the plight of his people. A BJPian can't sleep because his conscience won't let him. ||||| @smritiirani mam this person is spreading fake news that BJP people have conscience. Pls take action. [URL]
144	1,0	2	How old were you when you found out it's "Ring around the Rosie" and not "Ringa ringa roses".  I was today's years old. ||||| you lying girl. [URL]
145	1,3	2	The @ONS claimant count figures show unemployment is disproportionately affecting my constituency. Govt must pause &amp; fix problems with #UC. [URL] ||||| #UC was the dream of IDS, there is no end to the cruelty of these career polititians that wish to cause others harm, hence his backing of Brexit [URL]
146	1,1	2	It’s tragic that the EU, UN &amp; NATO were all created to prevent events that caused WW2 from being repeated yet when confronted by #brexit #Trump Middle East destabilising &amp; the State of Israel especially Israel  Some Jews throw the anti-Semite card at any scrutiny towards Israel ||||| How can they not see that they are on the wrong side of history this time? They are the enemy in this conflict &amp; not the victim. [URL]
147	1,3	2	My TRUTH!! [URL] ||||| Whether we like it or not, there is fake news put out by wannabe journalists. As a result good people have to unnecessarily defend themselves while amateurs vomit out their clickbait stories. [URL]
150	1,3	2	Guilty of what? @MSNBC's @HardballChris says NRA is 'Immune to justice' for GOTV and hiring Oliver North #TTT [URL] ||||| .@HardballChris loves his false narrative &amp; lies through his nose [URL]
152	1,0	2	She voted for Trump but now: “I’m ashamed.” A Missouri woman feels the anguish after her daughter-in-law gets deported, leaving behind a husband, child and life in America. [URL] ||||| Very misleading tweet from @AP.  The Missouri woman expressed shame over being an American, not over voting for trump. These stupid people did this to themselves. [URL]
153	1,0	2	Everything Britney did, Taylor does better [URL] [URL] ||||| This a prime example of fake news. [URL]
154	1,0	2	LEVELS OF WHITE ANGER, RANKED  6) “Son of a gun” 5) “Alllllright, bucko” 4) “You just hold your horses” 3) “Well now wait just a minute” 2) “Newsflash pal” 1) “Listen here buddy” ||||| There’s no “YOU FUCKING COCKSUCKER” on your list. Incorrect [URL]
155	1,0	2	Texas Lt Governor Dan Patrick now says we need to arm teachers in addition to reducing the number of doors. The problem is that CNN shouldn’t be inviting this known maniac on TV. It’s an embarrassment and a disgrace. ||||| Keep the Idiots talking...they are doing a good job of destroying themselves...!!! People ARE FED UP with their BS!!! #BlueWave2018 Take down the GOP!!! Destroy the GOP!!!! [URL]
156	1,3	2	Cynthia Tisdale was a substitute teacher at Santa Fe High School. Her son says she started teaching “because she loved it.” She left her family a note the morning of the shooting: “Had to go meet teacher. I love you.”  Remember the victims, not the shooter. #NoNotoriety [URL] ||||| This is a thread that shouldn’t exist. For the millionth time should not exist. [URL]
159	1,0	2	Hemingway on Kerry Iran Meetings: All The People Who Said Logan Act Was Real Are Oddly Silent Right Now  [URL] ||||| @ABC @NBCPolitics @ABC @CNN Prove to US you are not “fake news” and let everyone know Kerry has gone against the Logan act by trying to go against the US and keep the Iran Deal!  Prove you are not just Democrat propaganda! [URL]
160	1,0	2	Fmr CIA Director Brennan: Trump's decision on Iran Deal "not just foolish, but dangerous" [URL] ||||| This coming from the lying disgraced former(thank god) so called CIA manager (just to hard to give home the dignity of the Director title). [URL]
